carrier,service,at_least_usd,but_less_than_usd,surcharge,scraped_at
DHL,Express Road,2.71,2.74,22.75 %,2025-10-15T22:32:56.824930
DHL,Express Road,2.74,2.77,23 %,2025-10-15T22:32:56.824942
DHL,Express Road,2.77,2.80,23.25 %,2025-10-15T22:32:56.824953
DHL,Express Road,2.80,2.83,23.5 %,2025-10-15T22:32:56.824965
DHL,Express Road,2.83,2.86,23.75 %,2025-10-15T22:32:56.824979
DHL,Express Road,2.86,2.89,24 %,2025-10-15T22:32:56.824990
DHL,Express Road,2.89,2.92,24.25 %,2025-10-15T22:32:56.825001
DHL,Express Road,2.92,2.95,24.5 %,2025-10-15T22:32:56.825012
DHL,Express Road,2.95,2.98,24.75 %,2025-10-15T22:32:56.825024
DHL,Express Road,2.98,3.01,25 %,2025-10-15T22:32:56.825035
DHL,Express Road,3.01,3.04,25.25 %,2025-10-15T22:32:56.825046
DHL,Express Road,3.04,3.07,25.5 %,2025-10-15T22:32:56.825057
DHL,Express Road,3.07,3.10,25.75 %,2025-10-15T22:32:56.825068
DHL,Express Road,3.10,3.13,26 %,2025-10-15T22:32:56.825087
DHL,Express Road,3.13,3.16,26.25 %,2025-10-15T22:32:56.825099
DHL,Express Road,3.16,3.19,26.5 %,2025-10-15T22:32:56.825111
DHL,Express Road,3.19,3.22,26.75 %,2025-10-15T22:32:56.825122
DHL,Express Road,3.22,3.25,27 %,2025-10-15T22:32:56.825145
DHL,Express Road,3.25,3.28,27.25 %,2025-10-15T22:32:56.825156
DHL,Express Road,3.28,3.31,27.5 %,2025-10-15T22:32:56.825170
DHL,Express Road,3.31,3.34,27.75 %,2025-10-15T22:32:56.825181
DHL,Express Road,3.34,3.37,28 %,2025-10-15T22:32:56.825192
DHL,Express Road,3.37,3.40,28.25 %,2025-10-15T22:32:56.825203
DHL,Express Road,3.40,3.43,28.5 %,2025-10-15T22:32:56.825214
DHL,Express Road,3.43,3.46,28.75 %,2025-10-15T22:32:56.825225
DHL,Express Road,3.46,3.49,29 %,2025-10-15T22:32:56.825244
DHL,Express Road,3.49,3.52,29.25 %,2025-10-15T22:32:56.825257
DHL,Express Road,3.52,3.55,29.5 %,2025-10-15T22:32:56.825270
DHL,Express Road,3.55,3.58,29.75 %,2025-10-15T22:32:56.825284
DHL,Express Road,3.58,3.61,30 %,2025-10-15T22:32:56.825297
DHL,Express Road,3.61,3.64,30.25 %,2025-10-15T22:32:56.825309
DHL,Express Road,3.64,3.67,30.5 %,2025-10-15T22:32:56.825320
DHL,Express Road,3.67,3.70,30.75 %,2025-10-15T22:32:56.825331
DHL,Express Road,3.70,3.73,31 %,2025-10-15T22:32:56.825342
